school,strategy,q_high,q_med,q_low,vacc,size
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,31
Elementary,21/21/21,21,21,21,0.5,22
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,9
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,21
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,6
Elementary,21/21/21,21,21,21,0.5,80
Elementary,21/21/21,21,21,21,0.5,14
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,8
Elementary,21/21/21,21,21,21,0.5,8
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,29
Elementary,21/21/21,21,21,21,0.5,46
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,10
Elementary,21/21/21,21,21,21,0.5,16
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,17
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,10
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,10
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,8
Elementary,21/21/21,21,21,21,0.5,35
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,81
Elementary,21/21/21,21,21,21,0.5,7
Elementary,21/21/21,21,21,21,0.5,9
Elementary,21/21/21,21,21,21,0.5,10
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,8
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,36
Elementary,21/21/21,21,21,21,0.5,6
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,12
Elementary,21/21/21,21,21,21,0.5,16
Elementary,21/21/21,21,21,21,0.5,9
Elementary,21/21/21,21,21,21,0.5,14
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,12
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,9
Elementary,21/21/21,21,21,21,0.5,13
Elementary,21/21/21,21,21,21,0.5,10
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,17
Elementary,21/21/21,21,21,21,0.5,80
Elementary,21/21/21,21,21,21,0.5,21
Elementary,21/21/21,21,21,21,0.5,80
Elementary,21/21/21,21,21,21,0.5,16
Elementary,21/21/21,21,21,21,0.5,28
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,15
Elementary,21/21/21,21,21,21,0.5,28
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,10
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,13
Elementary,21/21/21,21,21,21,0.5,25
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,20
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,17
Elementary,21/21/21,21,21,21,0.5,5
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,82
Elementary,21/21/21,21,21,21,0.5,13
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,6
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,8
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,5
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,81
Elementary,21/21/21,21,21,21,0.5,17
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,12
Elementary,21/21/21,21,21,21,0.5,13
Elementary,21/21/21,21,21,21,0.5,12
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,10
Elementary,21/21/21,21,21,21,0.5,6
Elementary,21/21/21,21,21,21,0.5,14
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,24
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,31
Elementary,21/21/21,21,21,21,0.5,5
Elementary,21/21/21,21,21,21,0.5,10
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,10
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,14
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,9
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,80
Elementary,21/21/21,21,21,21,0.5,15
Elementary,21/21/21,21,21,21,0.5,5
Elementary,21/21/21,21,21,21,0.5,12
Elementary,21/21/21,21,21,21,0.5,21
Elementary,21/21/21,21,21,21,0.5,7
Elementary,21/21/21,21,21,21,0.5,24
Elementary,21/21/21,21,21,21,0.5,18
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,25
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,13
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,22
Elementary,21/21/21,21,21,21,0.5,33
Elementary,21/21/21,21,21,21,0.5,19
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,10
Elementary,21/21/21,21,21,21,0.5,9
Elementary,21/21/21,21,21,21,0.5,5
Elementary,21/21/21,21,21,21,0.5,15
Elementary,21/21/21,21,21,21,0.5,29
Elementary,21/21/21,21,21,21,0.5,34
Elementary,21/21/21,21,21,21,0.5,10
Elementary,21/21/21,21,21,21,0.5,15
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,7
Elementary,21/21/21,21,21,21,0.5,25
Elementary,21/21/21,21,21,21,0.5,28
Elementary,21/21/21,21,21,21,0.5,9
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,13
Elementary,21/21/21,21,21,21,0.5,19
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,20
Elementary,21/21/21,21,21,21,0.5,35
Elementary,21/21/21,21,21,21,0.5,13
Elementary,21/21/21,21,21,21,0.5,23
Elementary,21/21/21,21,21,21,0.5,5
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,36
Elementary,21/21/21,21,21,21,0.5,81
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,9
Elementary,21/21/21,21,21,21,0.5,28
Elementary,21/21/21,21,21,21,0.5,11
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,28
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,5
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,15
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,80
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,6
Elementary,21/21/21,21,21,21,0.5,7
Elementary,21/21/21,21,21,21,0.5,23
Elementary,21/21/21,21,21,21,0.5,6
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,18
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,8
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,6
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,38
Elementary,21/21/21,21,21,21,0.5,9
Elementary,21/21/21,21,21,21,0.5,80
Elementary,21/21/21,21,21,21,0.5,11
Elementary,21/21/21,21,21,21,0.5,15
Elementary,21/21/21,21,21,21,0.5,32
Elementary,21/21/21,21,21,21,0.5,13
Elementary,21/21/21,21,21,21,0.5,13
Elementary,21/21/21,21,21,21,0.5,28
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,16
Elementary,21/21/21,21,21,21,0.5,35
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,19
Elementary,21/21/21,21,21,21,0.5,11
Elementary,21/21/21,21,21,21,0.5,6
Elementary,21/21/21,21,21,21,0.5,12
Elementary,21/21/21,21,21,21,0.5,13
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,9
Elementary,21/21/21,21,21,21,0.5,16
Elementary,21/21/21,21,21,21,0.5,20
Elementary,21/21/21,21,21,21,0.5,5
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,5
Elementary,21/21/21,21,21,21,0.5,14
Elementary,21/21/21,21,21,21,0.5,21
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,5
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,12
Elementary,21/21/21,21,21,21,0.5,6
Elementary,21/21/21,21,21,21,0.5,15
Elementary,21/21/21,21,21,21,0.5,14
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,22
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,12
Elementary,21/21/21,21,21,21,0.5,8
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,16
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,37
Elementary,21/21/21,21,21,21,0.5,11
Elementary,21/21/21,21,21,21,0.5,11
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,23
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,6
Elementary,21/21/21,21,21,21,0.5,80
Elementary,21/21/21,21,21,21,0.5,26
Elementary,21/21/21,21,21,21,0.5,7
Elementary,21/21/21,21,21,21,0.5,16
Elementary,21/21/21,21,21,21,0.5,19
Elementary,21/21/21,21,21,21,0.5,80
Elementary,21/21/21,21,21,21,0.5,21
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,8
Elementary,21/21/21,21,21,21,0.5,11
Elementary,21/21/21,21,21,21,0.5,27
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,10
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,24
Elementary,21/21/21,21,21,21,0.5,15
Elementary,21/21/21,21,21,21,0.5,5
Elementary,21/21/21,21,21,21,0.5,80
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,80
Elementary,21/21/21,21,21,21,0.5,27
Elementary,21/21/21,21,21,21,0.5,17
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,80
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,24
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,14
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,80
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,80
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,9
Elementary,21/21/21,21,21,21,0.5,15
Elementary,21/21/21,21,21,21,0.5,7
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,7
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,80
Elementary,21/21/21,21,21,21,0.5,26
Elementary,21/21/21,21,21,21,0.5,31
Elementary,21/21/21,21,21,21,0.5,22
Elementary,21/21/21,21,21,21,0.5,38
Elementary,21/21/21,21,21,21,0.5,51
Elementary,21/21/21,21,21,21,0.5,15
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,12
Elementary,21/21/21,21,21,21,0.5,13
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,7
Elementary,21/21/21,21,21,21,0.5,5
Elementary,21/21/21,21,21,21,0.5,80
Elementary,21/21/21,21,21,21,0.5,34
Elementary,21/21/21,21,21,21,0.5,9
Elementary,21/21/21,21,21,21,0.5,6
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,6
Elementary,21/21/21,21,21,21,0.5,8
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,11
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,8
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,14
Elementary,21/21/21,21,21,21,0.5,21
Elementary,21/21/21,21,21,21,0.5,19
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,80
Elementary,21/21/21,21,21,21,0.5,24
Elementary,21/21/21,21,21,21,0.5,12
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,8
Elementary,21/21/21,21,21,21,0.5,80
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,82
Elementary,21/21/21,21,21,21,0.5,14
Elementary,21/21/21,21,21,21,0.5,81
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,9
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,13
Elementary,21/21/21,21,21,21,0.5,13
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,23
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,6
Elementary,21/21/21,21,21,21,0.5,9
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,5
Elementary,21/21/21,21,21,21,0.5,28
Elementary,21/21/21,21,21,21,0.5,10
Elementary,21/21/21,21,21,21,0.5,7
Elementary,21/21/21,21,21,21,0.5,7
Elementary,21/21/21,21,21,21,0.5,37
Elementary,21/21/21,21,21,21,0.5,21
Elementary,21/21/21,21,21,21,0.5,30
Elementary,21/21/21,21,21,21,0.5,7
Elementary,21/21/21,21,21,21,0.5,14
Elementary,21/21/21,21,21,21,0.5,15
Elementary,21/21/21,21,21,21,0.5,18
Elementary,21/21/21,21,21,21,0.5,35
Elementary,21/21/21,21,21,21,0.5,24
Elementary,21/21/21,21,21,21,0.5,16
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,8
Elementary,21/21/21,21,21,21,0.5,16
Elementary,21/21/21,21,21,21,0.5,13
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,7
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,15
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,6
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,80
Elementary,21/21/21,21,21,21,0.5,80
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,27
Elementary,21/21/21,21,21,21,0.5,15
Elementary,21/21/21,21,21,21,0.5,18
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,15
Elementary,21/21/21,21,21,21,0.5,6
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,31
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,25
Elementary,21/21/21,21,21,21,0.5,81
Elementary,21/21/21,21,21,21,0.5,6
Elementary,21/21/21,21,21,21,0.5,16
Elementary,21/21/21,21,21,21,0.5,11
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,10
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,6
Elementary,21/21/21,21,21,21,0.5,18
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,16
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,12
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,30
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,16
Elementary,21/21/21,21,21,21,0.5,10
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,7
Elementary,21/21/21,21,21,21,0.5,14
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,7
Elementary,21/21/21,21,21,21,0.5,10
Elementary,21/21/21,21,21,21,0.5,81
Elementary,21/21/21,21,21,21,0.5,13
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,13
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,15
Elementary,21/21/21,21,21,21,0.5,21
Elementary,21/21/21,21,21,21,0.5,7
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,41
Elementary,21/21/21,21,21,21,0.5,9
Elementary,21/21/21,21,21,21,0.5,27
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,17
Elementary,21/21/21,21,21,21,0.5,25
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,81
Elementary,21/21/21,21,21,21,0.5,5
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,5
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,8
Elementary,21/21/21,21,21,21,0.5,5
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,6
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,81
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,7
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,13
Elementary,21/21/21,21,21,21,0.5,26
Elementary,21/21/21,21,21,21,0.5,11
Elementary,21/21/21,21,21,21,0.5,17
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,11
Elementary,21/21/21,21,21,21,0.5,28
Elementary,21/21/21,21,21,21,0.5,19
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,14
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,25
Elementary,21/21/21,21,21,21,0.5,4
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,27
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,81
Elementary,21/21/21,21,21,21,0.5,9
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,80
Elementary,21/21/21,21,21,21,0.5,8
Elementary,21/21/21,21,21,21,0.5,35
Elementary,21/21/21,21,21,21,0.5,6
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,13
Elementary,21/21/21,21,21,21,0.5,5
Elementary,21/21/21,21,21,21,0.5,5
Elementary,21/21/21,21,21,21,0.5,12
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,10
Elementary,21/21/21,21,21,21,0.5,16
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,7
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,9
Elementary,21/21/21,21,21,21,0.5,81
Elementary,21/21/21,21,21,21,0.5,30
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,6
Elementary,21/21/21,21,21,21,0.5,7
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,6
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,7
Elementary,21/21/21,21,21,21,0.5,78
Elementary,21/21/21,21,21,21,0.5,14
Elementary,21/21/21,21,21,21,0.5,7
Elementary,21/21/21,21,21,21,0.5,6
Elementary,21/21/21,21,21,21,0.5,9
Elementary,21/21/21,21,21,21,0.5,47
Elementary,21/21/21,21,21,21,0.5,80
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,81
Elementary,21/21/21,21,21,21,0.5,13
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,9
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,25
Elementary,21/21/21,21,21,21,0.5,11
Elementary,21/21/21,21,21,21,0.5,6
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,13
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,25
Elementary,21/21/21,21,21,21,0.5,15
Elementary,21/21/21,21,21,21,0.5,11
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,5
Elementary,21/21/21,21,21,21,0.5,11
Elementary,21/21/21,21,21,21,0.5,11
Elementary,21/21/21,21,21,21,0.5,5
Elementary,21/21/21,21,21,21,0.5,3
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,29
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,79
Elementary,21/21/21,21,21,21,0.5,16
Elementary,21/21/21,21,21,21,0.5,17
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,18
Elementary,21/21/21,21,21,21,0.5,1
Elementary,21/21/21,21,21,21,0.5,34
Elementary,21/21/21,21,21,21,0.5,10
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,2
Elementary,21/21/21,21,21,21,0.5,23
Elementary,21/21/21,21,21,21,0.5,10
Elementary,21/21/21,21,21,21,0.5,80
Elementary,21/21/21,21,21,21,0.5,17
Elementary,21/21/21,21,21,21,0.5,9
Elementary,21/21/21,21,21,21,0.5,23
Elementary,21/21/21,21,21,21,0.5,11
Elementary,21/21/21,21,21,21,0.5,9
Elementary,21/21/21,21,21,21,0.5,78
